Sensor,Feature,Permutation_Importance,SHAP_Value
ind14,Outdoor PM(2.5),0.016416989434260267,0.3681414424698659
ind14,Outdoor PC(2.5),0.024297042383332235,0.37820279912728305
ind14,Outdoor Temperature,0.06112280024188073,0.606418558425998
ind14,Outdoor PC(0.3),0.09763824463590084,0.7453077281125594
ind14,Outdoor PC(0.1),0.43553945478416056,1.5765886074072428
ind14,Outdoor PC(1.0),0.5664488666236259,3.538214508686434
ind14,Outdoor PC(0.5),0.5524250455732153,3.545866529816594
ind15,645nm,0.10167581593810444,0.4069655543942942
ind15,585nm,0.16876642259294866,0.4578736128418641
ind15,Outdoor PM(2.5),0.021867168761356214,0.5069284375355938
ind15,Outdoor PC(0.1),0.02608453057016169,0.530283919978665
ind15,Outdoor Temperature,0.06536475948724554,0.7367035937371792
ind15,Outdoor PC(1.0),0.3722269258525849,2.9275558577478447
ind15,Outdoor PC(0.5),0.6302159124808266,4.285388352876918
ind16,Outdoor Pressure,0.018210223272861547,0.19717011415594873
ind16,585nm,0.021209649151805742,0.22926054301060977
ind16,645nm,0.022405012984347984,0.2766748596161691
ind16,Outdoor Dew Point,0.027132097820728163,0.32886321308070476
ind16,Outdoor Temperature,0.02419449567742975,0.40724202275971527
ind16,Outdoor PM(2.5),0.0163778561428356,0.4778237062412498
ind16,Outdoor PC(0.1),0.0342759957133862,0.5865016599588608
ind16,Outdoor PM(5.0),0.028547318894758235,0.6963643674959328
ind16,Outdoor PC(0.5),0.4145581728061879,2.879635297430522
ind16,Outdoor PC(1.0),0.5626814782179208,3.5636335346916006
ind17,Outdoor Humidity,0.114709206141726,0.28628221754946775
ind17,Outdoor Pressure,0.042762725148141764,0.38461691102809203
ind17,Outdoor PC(0.1),0.03475968180781519,0.7072468867243252
ind17,560nm,0.22299333982147013,0.7179982116938062
ind17,Outdoor PC(1.0),0.2689089794129922,2.8170916363491707
ind17,Outdoor PC(0.5),0.37360774609585806,3.7638319585996745
ind18,645nm,0.02180586028309499,0.25444049083794973
ind18,Outdoor PM(2.5),0.016052969093864534,0.28170001200138745
ind18,Outdoor Dew Point,0.02245667536590328,0.3293862366817934
ind18,Outdoor PM(5.0),0.015285447115897655,0.3314245845024906
ind18,585nm,0.06092775143539473,0.33928678410137075
ind18,Outdoor PC(0.1),0.020256491177664017,0.48960716595804976
ind18,Outdoor Temperature,0.06204997995121706,0.7269599033044757
ind18,Outdoor PC(1.0),0.482567329649623,3.530045775596276
ind18,Outdoor PC(0.5),0.574560454401279,4.246156476658739
ind19,Outdoor Pressure,0.012339411470182849,0.22054816903643243
ind19,Outdoor PC(2.5),0.010020225646010883,0.27388933590550896
ind19,585nm,0.019804925741114587,0.3387089756411091
ind19,Outdoor PC(0.1),0.01973047374985688,0.36747204161927455
ind19,Outdoor Temperature,0.020933246620052293,0.3758285779340214
ind19,Outdoor Dew Point,0.022911205418402903,0.3915525915259625
ind19,Outdoor PM(5.0),0.08896103951509352,1.4725866791986881
ind19,Outdoor PC(1.0),0.4169425543243027,3.1791220373101265
ind19,Outdoor PC(0.5),0.38631329793357816,3.3230715733937193
ind20,585nm,0.08692347835717126,0.28377163269648426
ind20,Outdoor Dew Point,0.042174051100275854,0.3411872598326458
ind20,Outdoor PC(2.5),0.02715095085613677,0.47233031111155455
ind20,Outdoor PM(5.0),0.021528537055975572,0.520622803347263
ind20,Outdoor PC(0.1),0.03433151095345925,0.6201585358446032
ind20,Outdoor Temperature,0.0684726808094032,0.6974430427337847
ind20,Outdoor PC(1.0),0.3485698084366516,3.37679916856704
ind20,Outdoor PC(0.5),0.6800491340545822,5.642763834153329
ind21,Outdoor PM(0.5),0.23289482127338626,0.45426613266717414
ind21,705nm,0.8158345519362294,0.48176326621739024
ind21,Outdoor Dew Point,0.45032535879595736,0.5534670337801652
ind21,585nm,0.8817463330919869,0.6999175184080886
ind21,645nm,0.1319775797688298,0.7072103609606597
ind21,Outdoor Temperature,0.22108389413381943,0.717388560768309
ind21,Outdoor PC(1.0),0.22435914628192086,1.9309462271124331
ind21,Outdoor PC(0.5),0.6681445385156409,5.479542087215083
