,Outdoor PC(0.1),Outdoor PC(0.3),Outdoor PC(0.5),Outdoor PC(1.0),Outdoor PC(2.5),Outdoor PC(5.0),Outdoor PC(10.0),Outdoor PM(0.1),Outdoor PM(0.3),Outdoor PM(0.5),Outdoor PM(1.0),Outdoor PM(2.5),Outdoor PM(5.0),Outdoor PM(10.0),Outdoor Pressure,Outdoor Temperature,Outdoor Humidity,Outdoor Dew Point,Outdoor Wind Direction,Outdoor Wind Speed,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,SolarZenithAngle
Outdoor PM(1.0),0.9495080137413362,0.9693268062161622,0.9964431488253908,0.9770233255383416,0.8129594897062653,0.6296149863489292,0.11509473666162258,0.9495080138723133,0.967973479167311,0.9945001727216883,1.0,0.9946195396822133,0.9890650101044154,0.9888654232813174,-0.20376120527032324,0.12566139667152154,0.26223255609313717,0.25785728599485774,-0.1822917974318069,0.02295415778550022,2.2575912245453168e-05,-0.007765897277723233,-0.007554527671442292,-0.007765898181180032,-0.007521458615454383,-0.012092486498707977,-0.007521454964908636,0.0021168688417453705,-0.007765899248459086,-0.010090153889350384,-0.015823264155903242,-0.01206955799550676,-0.0077658971887361655,-0.007765897361042543,-0.007765896969558523,-0.007518603064964178,-0.007765892996617072,-0.0077658925492233135,-0.006070962861116717
Outdoor PM(2.5),0.9196348360136823,0.9442123739197812,0.9857319764919439,0.9923869847136372,0.8689109627800027,0.7054548193714656,0.17787437048411922,0.9196348361649228,0.9424471753768956,0.9790162311142822,0.9946195396822133,1.0,0.9989947970050254,0.9989297145457818,-0.20758819617282134,0.12662180759919103,0.245868117207708,0.24909289334594525,-0.17265880864402214,0.030767364924151015,-0.00018706245082716978,-0.00896159394610372,-0.008752041841344508,-0.008961594816310387,-0.008720157833167206,-0.013497783125290442,-0.008720154163350199,-0.0002667285958244626,-0.008961595867742459,-0.011274504649954385,-0.0170032046300451,-0.013475550084129899,-0.008961593789488959,-0.008961594014706042,-0.008961593627856009,-0.008715220956891038,-0.008961589517602578,-0.008961589029138269,-0.006502871676520197
Outdoor PM(5.0),0.9050321664668592,0.9311555720343846,0.9776742566666603,0.9955450857294598,0.8897985459901934,0.7365028578450217,0.2084065627210443,0.9050321666261845,0.9292549267975342,0.9692735105641477,0.9890650101044154,0.9989947970050254,1.0,0.9999987712001551,-0.20865323587900325,0.1272433486725076,0.23817276755909575,0.24521020073087899,-0.168891331260089,0.03328658573192138,-0.00025000764828664524,-0.00921518173391923,-0.009016480226331112,-0.009215182590706254,-0.008985061357920883,-0.013789750071895828,-0.008985057704066294,-0.00098075383187528,-0.009215183636282175,-0.011574905757326254,-0.0172152078454422,-0.013767806115939892,-0.009215181558775185,-0.009215181796353694,-0.009215181413984176,-0.0089801620089216,-0.009215177270100941,-0.009215176770099613,-0.0071777787368993845
Outdoor PM(10.0),0.9046323772991507,0.9307841345748676,0.9773855168905776,0.9955928993586198,0.8903862741089139,0.7374671130386931,0.2096740640053478,0.9046323774585092,0.9288809607172229,0.9689557003998363,0.9888654232813174,0.9989297145457818,0.9999987712001551,1.0,-0.20865509670139715,0.12719750701736643,0.23794197956991447,0.24502583388110535,-0.16876278413083406,0.033311632933929844,-0.0002501955119336307,-0.00921286857474645,-0.009014298026003332,-0.009212869431075098,-0.00898289297442864,-0.013785946518014033,-0.008982889322221375,-0.0009861823279466691,-0.009212870476591764,-0.011573156319124351,-0.017210190399064403,-0.013764012078846323,-0.00921286839945126,-0.009212868637004695,-0.009212868254730902,-0.00897799345442692,-0.009212864111406779,-0.009212863611424517,-0.007204756448569273
Outdoor Pressure,-0.20968056860498768,-0.20717671855114478,-0.18749154538891458,-0.2143141312104381,-0.19332863122487312,-0.164119091931914,-0.036243503907480754,-0.2096805681151845,-0.20745880850547296,-0.19515411678728956,-0.20376120527032324,-0.20758819617282134,-0.20865323587900325,-0.20865509670139715,1.0,-0.4726238101952137,-0.23722647798089838,-0.587756757644468,0.29558947247427486,-0.16839559257616918,-0.0001404355032198379,-0.011263277585734737,-0.011324100522183574,-0.011263277534534686,-0.011268008297832133,-0.016322873845286825,-0.011268000820213467,-0.06107218043258293,-0.011263282585998739,-0.04876141659704376,-0.02260076721029802,-0.016282438536901214,-0.01126327699939475,-0.01126327858651589,-0.01126327725040549,-0.011257246127567816,-0.01126326578689493,-0.011263262567043233,0.16366810230268464
Outdoor Temperature,0.1757033740559351,0.15638637045391837,0.10670681381247485,0.12525659068584183,0.11127773732073928,0.09675718409408232,0.002270489441740851,0.17570337359856264,0.15807661660408778,0.12375031239555809,0.12566139667152154,0.12662180759919103,0.1272433486725076,0.12719750701736643,-0.4726238101952137,1.0,-0.2729152419420048,0.8671583033209862,-0.5099817216717107,0.02350270517753483,0.007732636042417363,0.042366785028945766,0.04285923881159884,0.04236678378406402,0.04281776454086388,0.05421382357192107,0.042817763408258123,0.05486013952390362,0.04236678332358931,0.03973043100122968,0.053932652675063454,0.0541802194551212,0.04236678318682688,0.0423667855542736,0.042366784811525116,0.04272161046116948,0.04236678398163188,0.042366783119587824,0.003915680919939654
Outdoor Humidity,0.2825645045770509,0.2749697099412538,0.27049837928129594,0.2291796406444641,0.12911211420402338,0.05359877672329527,-0.03138421683285128,0.28256450474806843,0.2757062190380218,0.27407195623098296,0.26223255609313717,0.245868117207708,0.23817276755909575,0.23794197956991447,-0.23722647798089838,-0.2729152419420048,1.0,0.23436590390900947,-0.06578323099532679,-0.04683891882953895,-0.005624199520950046,-0.025777744780705023,-0.026069508526066813,-0.025777744078743683,-0.026051228694981558,-0.023969715299909433,-0.026051228196578208,-0.00868923267996385,-0.025777741126646346,-0.00944400806522503,-0.025702515562502738,-0.02394788433306955,-0.02577774377488716,-0.025777743491617246,-0.025777744375734466,-0.025994276462565715,-0.0257777467924171,-0.025777747772527303,-0.2452791041080645
Outdoor Dew Point,0.32272159414826945,0.2983238039967988,0.2431990026129202,0.23839694843544576,0.16806826394391144,0.11261119774179897,-0.021506243932619636,0.3227215937687626,0.3004926003899436,0.26309057883251885,0.25785728599485774,0.24909289334594525,0.24521020073087899,0.24502583388110535,-0.587756757644468,0.8671583033209862,0.23436590390900947,1.0,-0.5514966650933698,-0.0027328740663205334,0.004603323942941558,0.029453083307161402,0.029802740867876185,0.029453082308435644,0.029762951881122202,0.04368753048046367,0.029762950679572422,0.05464602889234551,0.02945308334266193,0.037684267412329484,0.043007409166778456,0.043660462659810384,0.029453081754885795,0.029453084384546878,0.029453083159107857,0.029697229046733564,0.029453080673170897,0.029453079205090937,-0.1392897512612621
Outdoor Wind Direction,-0.24332022149478905,-0.22149614848715957,-0.17366122681420668,-0.15901319441436076,-0.09944826268084858,-0.060675428625610886,0.015396088551024801,-0.24332022099506254,-0.223420869448629,-0.19067016804818362,-0.1822917974318069,-0.17265880864402214,-0.168891331260089,-0.16876278413083406,0.29558947247427486,-0.5099817216717107,-0.06578323099532679,-0.5514966650933698,1.0,-0.09107010515976757,-0.003422012574346253,-0.04293856116029252,-0.04315177345443902,-0.0429385587328159,-0.04310619740010045,-0.0580026795266864,-0.04310619675793324,-0.06066135204132661,-0.0429385589823383,-0.04095685708077054,-0.06572559301036496,-0.05796851131068488,-0.0429385585098917,-0.04293856092377256,-0.042938560393493565,-0.043059330253527074,-0.04293855742330203,-0.0429385558724713,0.09039624115257616
Outdoor Wind Speed,-0.002326295687999637,0.0073712359233013645,0.014655305409775353,0.044073776235361704,0.06331028180072204,0.06161048477717764,0.012824170842378498,-0.0023262956243458835,0.006551645939556048,0.012190476318270298,0.02295415778550022,0.030767364924151015,0.03328658573192138,0.033311632933929844,-0.16839559257616918,0.02350270517753483,-0.04683891882953895,-0.0027328740663205334,-0.09107010515976757,1.0,-0.0036473406705223063,-0.011143876955326927,-0.010939554105494884,-0.011143876554762892,-0.011061605122684517,-0.018637244605327785,-0.011061604619051342,0.016388942374111048,-0.01114387473619462,0.014359539839514953,-0.01960174363570289,-0.01872905995602425,-0.011143876156678246,-0.01114387623346288,-0.011143876408054048,-0.011027111432175224,-0.011143877622698141,-0.011143878067576666,0.16863192218964898
