,Outdoor PC(0.1),Outdoor PC(0.3),Outdoor PC(0.5),Outdoor PC(1.0),Outdoor PC(2.5),Outdoor PC(5.0),Outdoor PC(10.0),Outdoor PM(0.1),Outdoor PM(0.3),Outdoor PM(0.5),Outdoor PM(1.0),Outdoor PM(2.5),Outdoor PM(5.0),Outdoor PM(10.0),Outdoor Pressure,Outdoor Temperature,Outdoor Humidity,Outdoor Dew Point,Outdoor Wind Direction,Outdoor Wind Speed,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,SolarZenithAngle
Outdoor PM(1.0),0.9495409494208131,0.9693494838057137,0.996455498372762,0.9770863490112891,0.8132688434258609,0.630251217237906,0.11462859976580654,0.949540949551466,0.9679968962149972,0.9945163421952752,1.0,0.9946342541377994,0.9891007265008404,0.9889023256077395,-0.2037433386234722,0.12562886811434704,0.26239379645904837,0.2579022074574735,-0.18234870564591724,0.022918165044447995,2.343173560096119e-05,-0.00782106459302888,-0.007650384893982556,-0.007821065494728673,-0.007617251688556062,-0.012177795560036633,-0.007617248007394995,0.0018487423362524029,-0.007821066575492629,-0.010362991832626876,-0.0159160903518456,-0.012154808886408972,-0.00782106449838491,-0.007821064673878868,-0.007821064278213804,-0.007614497824922448,-0.007821060261316206,-0.007821059806410555,-0.006024802332976611
Outdoor PM(2.5),0.9197212892112907,0.9442857908143792,0.9857877723342335,0.9924028877791427,0.8691035908365985,0.7059384428886393,0.17709508012365233,0.9197212893611376,0.9425215822365932,0.979078119493943,0.9946342541377994,1.0,0.9989993829727478,0.9989347305918718,-0.20757135420061534,0.12660406190910292,0.24604527203459003,0.24916216926821536,-0.1727386982148099,0.030726017626528844,-0.00018627077479791722,-0.009011094606688993,-0.008841910751877707,-0.009011095475062443,-0.00881014763732351,-0.013580256675142618,-0.00881014393724717,-0.0005227213122316237,-0.009011096539539755,-0.011532895510594613,-0.017093336138129807,-0.013558101698587979,-0.009011094444296706,-0.009011094672922316,-0.009011094281945024,-0.008805304699827715,-0.009011090128625186,-0.009011089632734367,-0.0064606395033880186
Outdoor PM(5.0),0.9051589160359794,0.9312682094878081,0.9777669023726905,0.9955476198236953,0.8899311353397121,0.7368951400903054,0.20745261137523505,0.9051589161934086,0.9293686585347083,0.9693731426968266,0.9891007265008404,0.9989993829727478,1.0,0.9999987806519233,-0.2086380918492819,0.1272336100006857,0.2383626437330534,0.24529497028826025,-0.16898303643353224,0.03324281227695601,-0.00024924488386057585,-0.009263448328393913,-0.009103202884204265,-0.00926344918343197,-0.009071935692168144,-0.01387044236027118,-0.009071932008195902,-0.001231201468899313,-0.009263450241897309,-0.011827408675127367,-0.017303868646932546,-0.013848599971447915,-0.009263448147576809,-0.009263448388568523,-0.009263448002073339,-0.009067127067048214,-0.009263443815644187,-0.009263443308306503,-0.007136878871906921
Outdoor PM(10.0),0.9047611872146913,0.9308987887242757,0.9774800409400384,0.9955950637153155,0.8905160348891401,0.737854640195801,0.20871198511107755,0.9047611873721133,0.9289967135443937,0.9690572667905707,0.9889023256077395,0.9989347305918718,0.9999987806519233,1.0,-0.20864008789787594,0.12718804558363445,0.2381326250297079,0.24511134209389848,-0.16885498365149026,0.03326776704634459,-0.0002494332339799475,-0.009261124863674386,-0.009100986271200843,-0.009261125718258406,-0.009069732736086272,-0.013866622084299054,-0.009069729053765649,-0.0012364857386018145,-0.009261126776658631,-0.011825539558915257,-0.017298838179471143,-0.013844789107029137,-0.009261124682709128,-0.009261124923675323,-0.00926112453727726,-0.009064923878928148,-0.00926112035142105,-0.0092611198441054,-0.007163863517741251
Outdoor Pressure,-0.20967486848693948,-0.20717682630408843,-0.18748142529990972,-0.21429468566431897,-0.193382750768663,-0.16424858367320155,-0.036166679528401774,-0.2096748679611558,-0.20745840177260566,-0.19514775883272376,-0.2037433386234722,-0.20757135420061534,-0.2086380918492819,-0.20864008789787594,1.0,-0.4728255971379594,-0.2369652717155374,-0.5877815493523811,0.29558397281094473,-0.1687311663251072,-0.00013912863249026136,-0.01126210586917708,-0.011332197263945897,-0.011262105817283114,-0.011267713891419338,-0.01633454771379896,-0.011267706408567202,-0.061068928459232744,-0.011262110876102462,-0.04875751032708159,-0.022626557136443588,-0.01628802862525191,-0.011262105284424579,-0.011262106877640876,-0.01126210554163887,-0.011256973547123973,-0.011262094071484176,-0.011262090848013573,0.16384307335979134
Outdoor Temperature,0.17562506801747585,0.15631843282941052,0.10667101498403947,0.12526282798971577,0.11136767451918682,0.09693535531616006,0.0022579923639084723,0.17562506753242066,0.15800777911137012,0.12370533946304149,0.12562886811434704,0.12660406190910292,0.1272336100006857,0.12718804558363445,-0.4728255971379594,1.0,-0.27283698505870285,0.8671557695651917,-0.5099990266024964,0.023854445900401568,0.007733272325901694,0.04235875415514971,0.04279342071480982,0.042358752903923755,0.042750991476489565,0.05428224908880449,0.04275099033152589,0.05489096229447741,0.042358752441096714,0.0396255421839828,0.05401156189960742,0.0542480475654574,0.04235875230438796,0.04235875468718565,0.04235875393832786,0.04265470845714347,0.04235875310601698,0.04235875224037421,0.003307003407711962
Outdoor Humidity,0.28273411734320736,0.2751383087978677,0.2706554482532672,0.22935538806213332,0.12934457022226495,0.053835140997478,-0.031328473942158326,0.2827341175327581,0.2758749357862272,0.2742342591680104,0.26239379645904837,0.24604527203459003,0.2383626437330534,0.2381326250297079,-0.2369652717155374,-0.27283698505870285,1.0,0.23445156736537498,-0.06573679659617639,-0.04705135496902155,-0.005624268675347678,-0.025808761129032597,-0.026065873848669305,-0.0258087604223426,-0.026046218912845556,-0.02403383696728396,-0.026046218387867533,-0.008754065645805786,-0.02580875746908079,-0.009398128318581903,-0.025788343874448463,-0.024011040885607727,-0.025808760113238547,-0.025808759836652748,-0.025808760717098055,-0.025989226770764245,-0.025808763112839056,-0.025808764089265787,-0.24455589476202327
Outdoor Dew Point,0.32272203046657194,0.29833444800445214,0.24323656263871832,0.23849215684446812,0.1682756919054299,0.11290700654297511,-0.0214845643871825,0.3227220300659398,0.30050237303996535,0.26312145809371185,0.2579022074574735,0.24916216926821536,0.24529497028826025,0.24511134209389848,-0.5877815493523811,0.8671557695651917,0.23445156736537498,1.0,-0.551468600308681,-0.002487309501023923,0.004603449478663309,0.029417581316654343,0.02972708169469515,0.029417580313959257,0.029687135029839648,0.04371136700514636,0.029687133829500258,0.05463746949482991,0.02941758134622796,0.03759706822706634,0.043031644529786674,0.0436842736626459,0.029417579760849372,0.029417582402463,0.029417581173044348,0.02962130308740863,0.02941757869551044,0.029417577225744725,-0.13947893063039157
Outdoor Wind Direction,-0.24332254694395056,-0.2215166253191206,-0.17370973245016968,-0.15911580218903595,-0.09963656202180692,-0.0608943826847922,0.015382742537371269,-0.24332254644372006,-0.22343981132996263,-0.1907112240272284,-0.18234870564591724,-0.1727386982148099,-0.16898303643353224,-0.16885498365149026,0.29558397281094473,-0.5099990266024964,-0.06573679659617639,-0.551468600308681,1.0,-0.09110946788458421,-0.003421239114761231,-0.04299600051907802,-0.04318659816638011,-0.042995998086647565,-0.04314321448998256,-0.05803950828149398,-0.04314321387231777,-0.06048512163268485,-0.04299599832442841,-0.0406857209867706,-0.0657614069087416,-0.0580069198739031,-0.042995997868848175,-0.04299600029325168,-0.04299599976413894,-0.04309639204969258,-0.04299599683226371,-0.0429959952849418,0.0904636206843635
Outdoor Wind Speed,-0.002348534270140161,0.007363008257895435,0.014617002130180108,0.04403066913606288,0.0632828436787159,0.061620489380013126,0.012831466306002279,-0.002348534189782349,0.0065422164586694,0.012160841992933949,0.022918165044447995,0.030726017626528844,0.03324281227695601,0.03326776704634459,-0.1687311663251072,0.023854445900401568,-0.04705135496902155,-0.002487309501023923,-0.09110946788458421,1.0,-0.0036482571492984753,-0.011139447781477272,-0.010969496916498744,-0.011139447375594344,-0.011076617626093738,-0.018656032124000417,-0.011076617139582738,0.016374285482126705,-0.011139445549767724,0.014330635475443554,-0.019586933841987727,-0.01873679495090338,-0.011139446986138167,-0.011139447059418297,-0.011139447234205294,-0.011042096346698466,-0.011139448476030534,-0.01113944892534949,0.16837070965083398
